Time (year);King_mackerel;Amberjacks;Red_grouper;Gag_grouper;Red_snapper;Sardine_herring_scad_complex;Anchovies_and_silversides;Coastal_omnivores;Reef_carnivores;Reef_omnivores;Shrimps;Large_crabs
0.0;0.0;0.0;0.0;5.5;0.0;7.1400003;0.0;5.0;0.0;8.33;4.76;5.88
0.083333336;0.0;0.0;3.1;30.8;0.0;7.1400003;7.1400003;5.0;0.0;8.33;4.76;5.88
0.16666667;0.0;33.0;31.600002;34.1;0.0;7.1400003;7.1400003;5.0;0.0;8.33;4.76;5.88
0.25;0.0;50.0;30.599998;29.6;9.6;14.290001;14.290001;0.0;25.0;8.33;9.52;11.76
0.33333334;34.0;17.0;31.600002;0.0;9.7;14.290001;14.290001;0.0;25.0;8.33;9.53;11.77
0.41666666;33.0;0.0;3.1;0.0;20.0;14.290001;14.290001;0.0;12.5;8.33;9.53;11.77
0.5;33.0;0.0;0.0;0.0;20.7;14.290001;14.290001;0.0;12.5;8.33;9.53;11.77
0.5833333;0.0;0.0;0.0;0.0;20.7;14.290001;7.1400003;0.0;12.5;8.33;9.53;11.77
0.6666667;0.0;0.0;0.0;0.0;9.7;7.13;7.1400003;0.0;12.5;8.33;9.52;11.76
0.75;0.0;0.0;0.0;0.0;9.6;0.0;7.1400003;5.0;0.0;8.33;9.52;5.88
0.8333333;0.0;0.0;0.0;0.0;0.0;0.0;7.1400003;40.0;0.0;8.33;9.52;0.0
0.9166667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0;0.0;8.33;9.52;5.88
